East,North,Value
651882.5040753274,6133581.527418693,0.0
651881.6569159174,6133579.4872234175,0.0
651880.1686303138,6133578.136594378,0.0
651883.3235221123,6133580.782104999,0.0
651897.4575703426,6133583.743246642,0.0
651891.0979432496,6133583.493634207,0.0
651931.2633954624,6133582.523454644,6.0
651935.3885182884,6133582.603452469,1.0
651937.18907489,6133583.593566922,3.0
651920.6574312344,6133582.127757928,1.0
651929.1490379579,6133582.450736251,1.0
651921.1218067651,6133584.526071762,2.0
651918.9535286295,6133584.482443362,4.0
651916.7873759905,6133584.377010065,2.0
651914.6190978471,6133584.333383793,1.0
651912.4518824273,6133584.2588556055,6.0
651898.1539535661,6133581.446727991,1.0
651900.3035506024,6133581.520643272,13.0
651902.4531476202,6133581.5945596015,11.0
651905.6268094967,6133581.64181243,13.0
651907.7764064979,6133581.71573135,7.0
651909.9436231279,6133581.790257222,1.0
651912.0766631532,6133581.83266935,1.0
651916.3406177607,6133581.979302658,1.0
651918.5078343304,6133582.053832735,2.0
651933.3467650888,6133582.471350141,0.0
651938.331940075,6133585.241730879,0.0
651922.7883456892,6133582.23198119,0.0
651924.9379425407,6133582.305908468,0.0
651927.0523000815,6133582.378624843,0.0
651914.2086404662,6133581.90598549,0.0
651887.4443950097,6133580.985669966,6.0
651889.5950547362,6133581.028677048,3.0
651891.7425267743,6133581.164394126,3.0
651896.0395958071,6133581.374025456,6.0
651938.7400529592,6133583.120939845,2.0
651925.0250920423,6133579.7718642205,1.0
651922.8391918604,6133579.727627986,1.0
651920.6719741143,6133579.653095801,2.0
651918.503693596,6133579.609467661,3.0
651916.3364758269,6133579.534937605,2.0
651914.1681953159,6133579.491311594,2.0
651912.0196598885,6133579.3864866,2.0
651909.868999027,6133579.343468613,5.0
651907.7359578339,6133579.301057571,5.0
651905.5687400004,6133579.226532801,6.0
651933.6069274002,6133580.03607491,2.0
651931.4397097185,6133579.96153744,16.0
651929.2890488452,6133579.918509996,3.0
651927.1570704529,6133579.845186593,2.0
651893.8899987335,6133581.300112251,0.0
651940.1749707769,6133581.40674,0.0
651942.0569216481,6133580.5432838565,0.0
651940.0077272105,6133580.627499296,0.0
651937.8863779625,6133580.245140945,0.0
651935.7399686251,6133580.078498451,0.0
651886.4141382601,6133576.0618032655,1.0
651883.2459620566,6133576.881059446,3.0
651892.7603114123,6133578.755167749,2.0
651890.6721664917,6133575.867873066,1.0
651882.3988019095,6133574.840864049,6.0
651890.6833168406,6133578.621873507,3.0
651892.7854642723,6133575.97147597,2.0
651888.5689577883,6133578.549174571,1.0
651880.8763379682,6133573.458120226,1.0
651894.9516210128,6133576.076897422,1.0
651882.363562563,6133574.839652458,5.0
651884.2885334223,6133575.803082689,1.0
651901.3047829068,6133579.079909938,1.0
651899.1738669497,6133578.9756970685,1.0
651897.0408257392,6133578.933291194,1.0
651894.8922900571,6133578.828474538,3.0
651907.7445631442,6133576.485856845,9.0
651909.8941626718,6133576.559776756,4.0
651912.0282679261,6133576.571285837,17.0
651914.1602477783,6133576.644601911,4.0
651916.3087845435,6133576.749427924,1.0
651888.5183166129,6133575.9175744485,0.0
651886.4599113608,6133578.321961733,0.0
651884.4054056939,6133578.560717871,0.0
651903.4180791578,6133579.183517956,0.0
651935.2922768471,6133575.143714818,2.0
651933.1624218099,6133575.008582601,7.0
651931.0160098572,6133574.841942447,27.0
651928.8653465004,6133574.798915249,2.0
651903.4971603914,6133576.370740784,1.0
651905.6115206045,6133576.4434468495,6.0
651938.4147614865,6133575.653323774,2.0
651939.3450879861,6133573.736131259,2.0
651929.1017258948,6133577.158449237,12.0
651918.477066431,6133576.793054964,2.0
651931.2337055994,6133577.231773556,10.0
651920.59142656,6133576.865768204,2.0
651933.3315088078,6133577.272983928,4.0
651922.7057866706,6133576.938482456,3.0
651935.3620219703,6133577.21906234,1.0
651924.8730057651,6133577.013015618,12.0
651926.9873658391,6133577.085731921,8.0
651897.0659812989,6133576.149599394,0.0
651899.2166435217,6133576.192611123,0.0
651901.3475608231,6133576.296823989,0.0
651926.7136203465,6133574.786792075,0.0
651939.2767350528,6133573.671901217,0.0
651940.7869994044,6133572.331567367,0.0
651937.440200828,6133574.753497458,0.0
651937.4865615009,6133577.508710522,0.0
651890.3289859756,6133573.535609492,2.0
651888.2333067092,6133573.432613602,7.0
651884.0841819718,6133573.537472048,3.0
651922.3957368217,6133574.669233984,3.0
651920.2461362737,6133574.595308005,7.0
651918.0954729588,6133574.552286051,3.0
651937.618972732,6133574.171795036,3.0
651941.326342124,6133569.472741305,1.0
651903.0835079274,6133574.036052591,1.0
651898.8206084755,6133573.858529229,1.0
651894.5577088902,6133573.681009983,1.0
651913.7973345174,6133574.373536347,1.0
651911.6642908683,6133574.331123448,2.0
651927.7895987164,6133572.2248764755,2.0
651909.4981332526,6133574.225693811,4.0
651929.8852785892,6133572.327891129,5.0
651892.4257277632,6133573.607703396,0.0
651886.0900809785,6133573.17328636,0.0
651924.5464001445,6133574.712258032,0.0
651915.9645547986,6133574.448065116,0.0
651938.2758872471,6133571.997682246,0.0
