East,North,Value
651889.4242129097,6133602.9279815685,84.0
651887.1689090085,6133602.8504365105,116.0
651885.1602789542,6133602.781373914,171.0
651883.1319042934,6133602.773512401,120.0
651881.0020622988,6133602.638405127,116.0
651900.7060452905,6133603.161209226,234.0
651898.4331218521,6133603.083052544,150.0
651896.2119944727,6133603.037617573,154.0
651893.9369458291,6133603.021269172,156.0
651891.6795167901,6133603.005527777,164.0
651912.0001839257,6133603.549586525,111.0
651909.7624997129,6133603.472635842,81.0
651907.4708941127,6133603.424771581,67.0
651905.1979707526,6133603.346611416,66.0
651902.9437295854,6133603.238155318,99.0
651613.9676612448,6133551.60433902,4.0
651932.2316901516,6133604.121611795,170.0
651930.0468647396,6133604.046468818,189.0
651927.9159608157,6133603.94224188,239.0
651925.714578602,6133603.835592089,236.0
651881.8340787776,6133600.501245299,137.0
651881.8037990895,6133598.303498618,128.0
651883.0139706465,6133600.046780157,140.0
651885.0253461299,6133600.549089346,125.0
651887.0868359106,6133600.619969311,123.0
651922.8954489203,6133603.738637775,210.0
651920.8142152037,6133603.72894108,148.0
651918.6811856098,6133603.68652456,143.0
651916.4424386636,6133603.64047347,79.0
651914.2213112891,6133603.59502944,89.0
651900.5834266975,6133601.0840448355,155.0
651902.608614559,6133601.184623294,142.0
651904.6535472728,6133601.2240026025,103.0
651906.7337191369,6133601.264594648,84.0
651908.8138910127,6133601.305187672,85.0
651931.8997772557,6133601.975368389,273.0
651934.0151883045,6133602.017185275,155.0
651936.1274107121,6133602.151712107,160.0
651938.1738560712,6133601.634247323,7.0
651939.7401587132,6133600.203022357,3.0
651909.8284933466,6133598.988674033,17.0
651907.676779367,6133598.976559939,30.0
651905.49195161,6133598.90142915,68.0
651903.3423629912,6133598.8275112035,69.0
651901.2093312939,6133598.785103158,106.0
651921.341404533,6133601.73600213,179.0
651923.4899290847,6133601.8408318395,240.0
651925.6032144515,6133601.944450655,187.0
651927.7341193381,6133602.048676464,160.0
651929.8174796748,6133601.996570446,276.0
651889.1328312139,6133600.628438448,126.0
651891.2130031293,6133600.669023179,143.0
651894.4363219679,6133600.810794641,140.0
651896.513306055,6133600.944090821,201.0
651898.5384939786,6133601.044667411,168.0
651910.8598864686,6133601.313666874,79.0
651912.8861369521,6133601.383347065,107.0
651914.9818029595,6133601.486354876,87.0
651917.0432925328,6133601.557248831,64.0
651919.08716252,6133601.627537806,118.0
651920.6282320791,6133599.391010851,138.0
651918.4807690971,6133599.255279574,77.0
651916.3135609683,6133599.180749372,48.0
651914.1629096691,6133599.137729136,31.0
651912.0298779596,6133599.095315864,60.0
651931.2560258148,6133599.663702259,300.0
651929.1406136814,6133599.6218867125,207.0
651927.007581982,6133599.579466203,191.0
651924.8756130984,6133599.506143747,334.0
651922.741518617,6133599.4946282795,203.0
651940.6267779567,6133602.1208294695,2.0
651939.7193504113,6133600.295125264,2.0
651937.6449416965,6133599.5740461685,49.0
651935.5263407876,6133599.624936498,126.0
651933.3879946731,6133599.737027798,203.0
651899.0752369838,6133598.773599125,115.0
651896.9774444819,6133598.732404851,184.0
651894.845475428,6133598.659096897,81.0
651892.7487455143,6133598.587001649,96.0
651890.6333334384,6133598.545204549,29.0
651887.7945493669,6133595.94149608,110.0
651889.907837528,6133596.045097766,43.0
651892.0761095565,6133596.088712003,124.0
