eu_key,loc_id,sea_id,plot_id,trt_id,plot_half,name,value,units
0101_101,sexy1,24/25,101,p,D,ergothioniene_ugg,19.274193548387096,micrograms per gram
0101_101,sexy1,24/25,101,p,Y,ergothioniene_ugg,30.122448979591837,micrograms per gram
0101_105,sexy1,24/25,105,a,D,ergothioniene_ugg,18.13765182186235,micrograms per gram
0101_105,sexy1,24/25,105,a,Y,ergothioniene_ugg,67.66129032258064,micrograms per gram
0101_202,sexy1,24/25,202,a,D,ergothioniene_ugg,20.489795918367346,micrograms per gram
0101_202,sexy1,24/25,202,a,Y,ergothioniene_ugg,25.92,micrograms per gram
0101_209,sexy1,24/25,209,p,D,ergothioniene_ugg,49.80392156862745,micrograms per gram
0101_209,sexy1,24/25,209,p,Y,ergothioniene_ugg,30.725806451612904,micrograms per gram
0101_307,sexy1,24/25,307,a,D,ergothioniene_ugg,24.24710424710425,micrograms per gram
0101_307,sexy1,24/25,307,a,Y,ergothioniene_ugg,20.313725490196077,micrograms per gram
0101_311,sexy1,24/25,311,p,D,ergothioniene_ugg,23.937007874015748,micrograms per gram
0101_311,sexy1,24/25,311,p,Y,ergothioniene_ugg,23.50194552529183,micrograms per gram
0101_405,sexy1,24/25,405,p,D,ergothioniene_ugg,13.413654618473897,micrograms per gram
0101_405,sexy1,24/25,405,p,Y,ergothioniene_ugg,25.68,micrograms per gram
0101_412,sexy1,24/25,412,a,D,ergothioniene_ugg,20.72,micrograms per gram
0101_412,sexy1,24/25,412,a,Y,ergothioniene_ugg,20.728744939271255,micrograms per gram
