"LocID";"SeasonID";"PlotID";"SampleDesc";"SampleID"
"sexy1";"24/25";"202";"sep-grain";"0101-202-B2"
"sexy1";"24/25";"203";"raw";"0101-203-A"
"sexy1";"24/25";"203";"sep-ergot";"0101-203-B1"
"sexy1";"24/25";"203";"sep-grain";"0101-203-B2"
"sexy1";"24/25";"204";"raw";"0101-204-A"
"sexy1";"24/25";"204";"sep-ergot";"0101-204-B1"
"sexy1";"24/25";"204";"sep-grain";"0101-204-B2"
"sexy1";"24/25";"205";"raw";"0101-205-A"
"sexy1";"24/25";"205";"sep-ergot";"0101-205-B1"
"sexy1";"24/25";"205";"sep-grain";"0101-205-B2"
"sexy1";"24/25";"206";"raw";"0101-206-A"
"sexy1";"24/25";"206";"sep-ergot";"0101-206-B1"
"sexy1";"24/25";"206";"sep-grain";"0101-206-B2"
"sexy1";"24/25";"207";"raw";"0101-207-A"
"sexy1";"24/25";"207";"sep-ergot";"0101-207-B1"
"sexy1";"24/25";"207";"sep-grain";"0101-207-B2"
"sexy1";"24/25";"208";"raw";"0101-208-A"
"sexy1";"24/25";"208";"sep-ergot";"0101-208-B1"
"sexy1";"24/25";"208";"sep-grain";"0101-208-B2"
"sexy1";"24/25";"209";"raw";"0101-209-A"
"sexy1";"24/25";"209";"sep-ergot";"0101-209-B1"
"sexy1";"24/25";"209";"sep-grain";"0101-209-B2"
"sexy1";"24/25";"210";"raw";"0101-210-A"
"sexy1";"24/25";"210";"sep-ergot";"0101-210-B1"
"sexy1";"24/25";"210";"sep-grain";"0101-210-B2"
"sexy1";"24/25";"211";"raw";"0101-211-A"
"sexy1";"24/25";"211";"sep-ergot";"0101-211-B1"
"sexy1";"24/25";"211";"sep-grain";"0101-211-B2"
"sexy1";"24/25";"212";"raw";"0101-212-A"
"sexy1";"24/25";"212";"sep-ergot";"0101-212-B1"
"sexy1";"24/25";"212";"sep-grain";"0101-212-B2"
"sexy1";"24/25";"301";"raw";"0101-301-A"
"sexy1";"24/25";"301";"sep-ergot";"0101-301-B1"
"sexy1";"24/25";"301";"sep-grain";"0101-301-B2"
"sexy1";"24/25";"302";"raw";"0101-302-A"
"sexy1";"24/25";"302";"sep-ergot";"0101-302-B1"
"sexy1";"24/25";"302";"sep-grain";"0101-302-B2"
"sexy1";"24/25";"303";"raw";"0101-303-A"
"sexy1";"24/25";"303";"sep-ergot";"0101-303-B1"
"sexy1";"24/25";"303";"sep-grain";"0101-303-B2"
"sexy1";"24/25";"304";"raw";"0101-304-A"
"sexy1";"24/25";"304";"sep-ergot";"0101-304-B1"
"sexy1";"24/25";"304";"sep-grain";"0101-304-B2"
"sexy1";"24/25";"305";"raw";"0101-305-A"
"sexy1";"24/25";"305";"sep-ergot";"0101-305-B1"
"sexy1";"24/25";"305";"sep-grain";"0101-305-B2"
"sexy1";"24/25";"306";"raw";"0101-306-A"
"sexy1";"24/25";"306";"sep-ergot";"0101-306-B1"
"sexy1";"24/25";"306";"sep-grain";"0101-306-B2"
"sexy1";"24/25";"307";"raw";"0101-307-A"
